Título,Data de Lançamento,Preço Normal,Preço Promocional,Desconto,A oferta termina em,Link da Oferta
Freedom Planet 2,04/04/24,"R$ 89,95","R$ 80,95",-10%,6 dias,https://www.nintendo.com/pt-br/store/products/construction-simulator-4-switch/
Saviorless,02/04/24,"R$ 22,99","R$ 20,69",-10%,7 dias,https://www.nintendo.com/pt-br/store/products/biomutant-switch/
Disney Dreamlight Valley,06/09/22,"R$ 147,45","R$ 110,58",-25%,4 dias,https://www.nintendo.com/pt-br/store/products/full-metal-sergeant-switch/
Saviorless,02/04/24,"R$ 22,99","R$ 20,69",-10%,7 dias,https://www.nintendo.com/pt-br/store/products/teenage-mutant-ninja-turtles-arcade-wrath-of-the-mutants-switch/
Inkulinati,22/02/24,"R$ 120,00","R$ 96,00",-20%,7 dias,https://www.nintendo.com/pt-br/store/products/aery-cyber-city-switch/
Construction Simulator 4,28/05/24,"R$ 169,99","R$ 152,99",-10%,Reserve já,https://www.nintendo.com/pt-br/store/products/4-in-a-row-switch/
Biomutant,14/05/24,"R$ 199,50","R$ 159,60",-20%,Reserve já,https://www.nintendo.com/pt-br/store/products/bunny-garden-switch/
Full Metal Sergeant,02/05/24,"R$ 32,99","R$ 29,69",-10%,Reserve já,https://www.nintendo.com/pt-br/store/products/planet-of-lana-switch/
Teenage Mutant Ninja Turtles Arcade: Wrath of the Mutants,23/04/24,"R$ 149,00","R$ 126,65",-14%,Reserve já,https://www.nintendo.com/pt-br/store/products/grounded-switch/
Aery - Cyber City,18/04/24,"R$ 32,99","R$ 23,09",-30%,Reserve já,https://www.nintendo.com/pt-br/store/products/hentai-girls-puzzle-switch/
4 in a row,18/04/24,"R$ 99,00","R$ 69,30",-30%,Reserve já,https://www.nintendo.com/pt-br/store/products/die-again-switch/
BUNNY GARDEN,18/04/24,"R$ 68,07","R$ 61,26",-10%,Reserve já,https://www.nintendo.com/pt-br/store/products/loretta-switch/
Planet of Lana,16/04/24,"R$ 74,95","R$ 67,45",-10%,Reserve já,https://www.nintendo.com/pt-br/store/products/moonglow-bay-switch/
Grounded,16/04/24,"R$ 199,00","R$ 159,20",-20%,Reserve já,https://www.nintendo.com/pt-br/store/products/sophia-the-traveler-switch/
Hentai Girls Puzzle,11/04/24,"R$ 13,79","R$ 9,99",-27%,Reserve já,https://www.nintendo.com/pt-br/store/products/life-of-slime-switch/
Die Again,11/04/24,"R$ 59,00","R$ 53,10",-9%,Reserve já,https://www.nintendo.com/pt-br/store/products/cube-airport-plus-cube-farmer-switch/
Loretta,11/04/24,"R$ 74,86","R$ 59,88",-20%,Reserve já,https://www.nintendo.com/pt-br/store/products/freedom-planet-1-plus-2-bundle-switch/
Moonglow Bay,11/04/24,"R$ 124,22","R$ 93,16",-25%,Reserve já,https://www.nintendo.com/pt-br/store/products/deadland-chronicles-switch/
Sophia the Traveler,11/04/24,"R$ 29,99","R$ 26,99",-10%,Reserve já,https://www.nintendo.com/pt-br/store/products/jigsaw-royal-princess-switch/
Life of Slime,05/04/24,"R$ 23,99","R$ 19,19",-20%,Reserve já,https://www.nintendo.com/pt-br/store/products/hentai-girls-sakura-romance-switch/
