Título,Link da Oferta,Desconto,Preço Promocional,Preço Normal
Like a Dragon: Infinite Wealth Ultimate Edition PS4 & PS5,https://store.playstation.com/pt-br/product/UP0177-PPSA06435_00-ULTIMATEEDITION0,-25%,"R$412,12","R$549,50"
Destiny 2: A Queda da Luz,https://store.playstation.com/pt-br/product/UP0002-PPSA02409_00-D2LFBUNDLE000001,-67%,"R$62,69","R$189,99"
Destiny 2: A Queda da Luz + Passe Anual,https://store.playstation.com/pt-br/product/UP0002-PPSA02409_00-D2LFPRMBUNDLE001,-67%,"R$125,39","R$379,99"
Dead Island 2 Deluxe Edition,https://store.playstation.com/pt-br/product/UP2047-PPSA03098_00-DI2HELLAPS5SIEA0,-45%,"R$230,45","R$419,00"
Sackboy: Uma Grande Aventura PS4 & PS5,https://store.playstation.com/pt-br/product/UP9000-PPSA01289_00-SACKBOYADVENTURE,-67%,"R$98,96","R$299,90"
Saints Row Gold Edition,https://store.playstation.com/pt-br/product/UP2047-PPSA02813_00-SRGOLD000000SIEA,-70%,"R$64,47","R$214,90"
Back 4 Blood: Standard Edition PS4 & PS5,https://store.playstation.com/pt-br/product/UP1018-PPSA01695_00-BACK4BLOOD000000,-90%,"R$29,99","R$299,99"
Sea of Stars,https://store.playstation.com/pt-br/product/UP3463-PPSA07586_00-8119804844737273,-30%,"R$131,53","R$187,90"
Persona 5 Tactica PS4 & PS5,https://store.playstation.com/pt-br/product/UP0177-PPSA16195_00-P5TPS5NA00000000,-40%,"R$179,94","R$299,90"
Chants of Sennaar,https://store.playstation.com/pt-br/product/UP4133-CUSA42226_00-CHANTSOFSENNAAR0,-25%,"R$78,67","R$104,90"
Red Dead Online,https://store.playstation.com/pt-br/product/UP1004-CUSA03041_00-REDEMPTION000002,-50%,"R$55,95","R$111,90"
Hogwarts Legacy: Pacote das Artes das Trevas,https://store.playstation.com/pt-br/product/UP1018-PPSA01593_00-STOR01ALLP00R0VP,-50%,"R$49,95","R$99,90"
Ghost of Tsushima VERSÃO DO DIRETOR,https://store.playstation.com/pt-br/product/UP9000-CUSA11456_00-GHOSTDIRECTORPS4,-67%,"R$98,96","R$299,90"
Ghost of Tsushima VERSÃO DO DIRETOR,https://store.playstation.com/pt-br/product/UP9000-PPSA02225_00-GHOSTDIRECTORPS5,-58%,"R$146,95","R$349,90"
Diablo® IV - Edição Digital Deluxe,https://store.playstation.com/pt-br/product/UP0002-PPSA02442_00-DIVGAMEDELUXE001,-50%,"R$224,50","R$449,00"
Diablo® IV - Edição Padrão,https://store.playstation.com/pt-br/product/UP0002-PPSA02442_00-DIVGAMESTANDARD1,-50%,"R$174,95","R$349,90"
Diablo® IV - Edição Ultimate,https://store.playstation.com/pt-br/product/UP0002-PPSA02442_00-DIVGAMEULTIMATE1,-50%,"R$249,50","R$499,00"
Call of Duty®: Black Ops III - Edição Zombies Chronicles,https://store.playstation.com/pt-br/product/UP0002-CUSA03005_00-CODBO3ZOMBIESEDN,-67%,"R$105,56","R$319,90"
HITMAN World of Assassination,https://store.playstation.com/pt-br/product/UP4572-PPSA01768_00-0000000000000WOA,-60%,"R$149,96","R$374,90"
HITMAN World of Assassination Deluxe Pack,https://store.playstation.com/pt-br/product/UP4572-PPSA01768_00-H3TRILOGYPREMIUM,-30%,"R$111,93","R$159,90"
NHL 24 para PS4™,https://store.playstation.com/pt-br/product/UP0006-CUSA37933_00-NHLPS4HOCKEY2024,-70%,"R$95,67","R$318,90"
Destiny 2: Coleção do Arsenal (Pacote de Renegados e Pacote do 30º Aniv),https://store.playstation.com/pt-br/product/UP0002-PPSA02409_00-D2Y6ARMORYBDL001,-75%,"R$27,49","R$109,99"
Destiny 2: Coleção de Clássicos (2023),https://store.playstation.com/pt-br/product/UP0002-PPSA02409_00-D2Y6LEGACYBDL001,-75%,"R$54,99","R$219,99"
Red Dead Redemption,https://store.playstation.com/pt-br/product/UP1004-CUSA36842_00-REDEMPTION000001,-20%,"R$199,60","R$249,50"
Like a Dragon: Infinite Wealth - Pacote de Impulso Lendário PS4 e PS5,https://store.playstation.com/pt-br/product/UP0177-PPSA06435_00-TRAININGBOOST000,-20%,"R$34,32","R$42,90"
Like a Dragon: Infinite Wealth - Pacote de Trajes Sortidos PS4 & PS5,https://store.playstation.com/pt-br/product/UP0177-PPSA06435_00-COSTUMEPACK00000,-20%,"R$63,92","R$79,90"
Like a Dragon: Infinite Wealth - Pacote de Férias de Mestre PS4 & PS5,https://store.playstation.com/pt-br/product/UP0177-PPSA06435_00-MASTERSVPACK0000,-20%,"R$83,92","R$104,90"
Like a Dragon: Infinite Wealth - Pacote de Sujimons e Resort PS4 e PS5,https://store.playstation.com/pt-br/product/UP0177-PPSA06435_00-SUJIMONPACK00000,-20%,"R$63,92","R$79,90"
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS PS4 e PS5,https://store.playstation.com/pt-br/product/UP0700-PPSA06981_00-NARUTOUNSA000000,-34%,"R$197,93","R$299,90"
